scenario_id,location,timezone,weather_year,random_seed,pv_capacity_kwp,wind_capacity_kw,annual_load_kwh,peak_load_kw,reliability_target_load_served,round_trip_efficiency,usable_soc_window_fraction,feasible,optimal_n_modules,optimal_capacity_kwh,reference_lpsp,reference_system_lcoe_eur_per_kwh,reference_renewable_share,reference_annualized_cost,infeasibility_reason,mechanistic_optimization_runtime_seconds,annual_pv_kwh,annual_wind_kwh,annual_renewable_kwh
0,jinan,Asia/Shanghai,2023,4200126,962.8684762026435,1429.4881158364183,2066095.665043289,537.0038929736841,0.9929324282232433,0.9133413735431382,0.7939111622551616,False,,,,,,,Battery-range inadequacy: no candidate within 0-80 modules achieves LPSP <= 0.0071 without diesel backup. This is a seasonal or sustained renewable/load timing mismatch a battery of any size within the tested range cannot bridge -- not a fixable sizing choice.,0.5770083690001684,1193834.6899915938,1897707.9935565116,3091542.6835481054
1,jinan,Asia/Shanghai,2023,4200127,919.2574508279295,559.834764455195,812515.8585767094,464.76975100085536,0.9959836577093283,0.9434648840763702,0.8561458062043936,True,15.0,3750.0,0.003878691795142282,0.3430859226277114,0.9961213082048577,145692.6468361387,,0.5682445410000128,1139762.5542376346,743205.1346266842,1882967.688864319
2,jinan,Asia/Shanghai,2023,4200128,1417.8698724519575,1242.5952240954127,1100513.730996694,492.6457136369502,0.9968266757685169,0.9447516660355842,0.7864186079550207,True,17.0,4250.0,0.0029041218841371285,0.37963132382882764,0.9970958781158629,165118.33308095718,,0.6693353380001099,1757978.6663104552,1649599.5058631562,3407578.1721736114
3,jinan,Asia/Shanghai,2023,4200129,1489.5836369983558,460.1435399588844,975785.0451283378,385.0578288710848,0.9915353367168319,0.9632608106539118,0.816212227940079,True,14.0,3500.0,0.00713936269276357,0.302845249703765,0.9928606373072364,135979.80371372943,,0.5557957510000051,1846894.6314514321,610860.6740339566,2457755.3054853887
4,jinan,Asia/Shanghai,2023,4200130,1540.6094136045112,1263.6478846665502,838766.5807504858,533.4236852965781,0.9943407309324861,0.9504461704525258,0.7165459999844876,True,8.0,2000.0,0.0039616590565321,0.4069722249983548,0.9960383409434679,77702.74497927396,,0.3214438129998598,1910160.1175502513,1677547.8335259594,3587707.9510762105
5,jinan,Asia/Shanghai,2023,4200131,2062.017207414613,990.0406285490841,836740.5357965617,480.5167696777431,0.9980654469465579,0.892622418009875,0.8108072287078099,True,9.0,2250.0,0.0013556394571161395,0.41876568534974357,0.9986443605428839,87415.58810168323,,0.3241765259999738,2556639.597631889,1314322.23460213,3870961.832234019
6,jinan,Asia/Shanghai,2023,4200132,825.7272234063307,1410.032167471661,1278097.4325263142,413.7690538767607,0.996542951528582,0.9491782742725892,0.7215481891911792,True,46.0,11500.0,0.0034376299508065275,0.5338104338672934,0.9965623700491935,446790.7836308253,,0.35501160500007245,1023796.9443767007,1871879.3711811383,2895676.315557839
7,jinan,Asia/Shanghai,2023,4200133,3248.0355354128237,614.3851836107855,863601.3454995056,371.94098775659336,0.9933383005547619,0.9546810768819172,0.8616502944128603,True,7.0,1750.0,0.00271137208565343,0.42046221169571424,0.9972886279143466,67989.90185686472,,0.3169856790000267,4027151.778604052,815623.2018610876,4842774.980465139
8,jinan,Asia/Shanghai,2023,4200134,1451.416678468146,1915.218911125541,1294560.3248382015,356.0228516926858,0.9923036858151084,0.9642439213044067,0.7329215635164036,True,15.0,3750.0,0.0068871897210100305,0.37672424698946766,0.99311281027899,145692.6468361387,,0.3271810789999563,1799572.4475488763,2542536.868120035,4342109.315668912
9,jinan,Asia/Shanghai,2023,4200135,2582.7873069286593,1246.0098965976242,1139618.6078220978,471.6498104729051,0.9964386641665423,0.9465085603523987,0.7262115503114626,True,12.0,3000.0,0.003154708696907753,0.3926926227581423,0.9968452913030923,116554.11746891096,,0.32311498500007474,3202328.417731342,1654132.6329532212,4856461.050684563
