scenario_id,location,timezone,weather_year,random_seed,pv_capacity_kwp,wind_capacity_kw,annual_load_kwh,peak_load_kw,reliability_target_load_served,round_trip_efficiency,usable_soc_window_fraction,feasible,optimal_n_modules,optimal_capacity_kwh,reference_lpsp,reference_system_lcoe_eur_per_kwh,reference_renewable_share,reference_annualized_cost,infeasibility_reason,mechanistic_optimization_runtime_seconds,annual_pv_kwh,annual_wind_kwh,annual_renewable_kwh
0,jinan,Asia/Shanghai,2023,4200126,962.8684762026435,1429.4881158364183,5223810.779539086,1754.513625407894,0.9929324282232433,0.9133413735431382,0.7939111622551616,True,7,1750.0,0.0,0.34674551585562996,0.47257627080486486,67989.90185686472,,2.1664445890000366,1193834.6899915938,1897707.9935565116,3091542.6835481054
1,jinan,Asia/Shanghai,2023,4200127,2600.7953060067475,762.2599544876739,5661299.006976005,1526.6701004955225,0.9934873054112716,0.905949529353722,0.8364991007949951,True,30,7500.0,0.0,0.2954690275036274,0.6765390546200516,291385.2936722774,,2.1959352189999777,3224656.0507654445,1011933.427619216,4236589.478384661
2,jinan,Asia/Shanghai,2023,4200128,919.2574508279295,559.834764455195,1536811.3487550276,1501.6941285029939,0.9959836577093283,0.9434648840763702,0.8561458062043936,True,10,2500.0,0.0,0.24554501396105854,0.8696171766573518,97128.43122409248,,2.2134378610000454,1139762.5542376346,743205.1346266842,1882967.688864319
3,jinan,Asia/Shanghai,2023,4200129,1876.7473266150198,1223.734152715209,2198984.9906382873,560.3421029503628,0.9960156266561142,0.922398658552882,0.8130472212962377,True,15,3750.0,0.0,0.2596092191387838,0.9317501288047723,145692.6468361387,,2.163724967999997,2326928.4624398253,1624560.6087021888,3951489.071142014
4,jinan,Asia/Shanghai,2023,4200130,2794.9965722480765,1342.4929760010634,4267897.003289979,1182.890025043579,0.9927355508825635,0.8827736051111146,0.7873434778464725,True,32,8000.0,0.0,0.2502124099359446,0.8757731961368173,310810.97991709586,,0.3559084789999929,3465440.9702110766,1782218.1406244207,5247659.110835497
5,jinan,Asia/Shanghai,2023,4200131,1417.8698724519575,1242.5952240954127,2383863.9146961584,1599.2599977293257,0.9968266757685169,0.9447516660355842,0.7864186079550207,True,17,4250.0,0.0,0.2618409304012857,0.8928938347282784,165118.33308095718,,0.3465119359999562,1757978.6663104552,1649599.5058631562,3407578.1721736114
6,jinan,Asia/Shanghai,2023,4200132,1489.5836369983558,460.1435399588844,2017014.838612758,1222.702401048797,0.9915353367168319,0.9632608106539118,0.816212227940079,True,15,3750.0,0.0,0.2344598789957724,0.8945327928340162,145692.6468361387,,0.3536967260000097,1846894.6314514321,610860.6740339566,2457755.3054853887
7,jinan,Asia/Shanghai,2023,4200133,1540.6094136045112,1263.6478846665502,1614019.3551484875,1741.9828985380234,0.9943407309324861,0.9504461704525258,0.7165459999844876,True,12,3000.0,0.0,0.29355722984489746,0.9489219286907873,116554.11746891096,,0.3540241850000143,1910160.1175502513,1677547.8335259594,3587707.9510762105
8,jinan,Asia/Shanghai,2023,4200134,2062.017207414613,990.0406285490841,1608060.3994016522,1556.808693872101,0.9980654469465579,0.892622418009875,0.8108072287078099,True,11,2750.0,0.0,0.28288024543129947,0.9587113683520305,106841.2743465017,,0.327675720000002,2556639.597631889,1314322.23460213,3870961.832234019
9,jinan,Asia/Shanghai,2023,4200135,825.7272234063307,1410.032167471661,2906168.9191950415,1323.1916885686624,0.996542951528582,0.9491782742725892,0.7215481891911792,True,14,3500.0,0.0,0.3175331871320176,0.6935440115893562,135979.80371372943,,0.3326123349999648,1023796.9443767007,1871879.3711811383,2895676.315557839
10,jinan,Asia/Shanghai,2023,4200136,3248.0355354128237,614.3851836107855,1687062.780880899,1176.7934571480769,0.9933383005547619,0.9546810768819172,0.8616502944128603,True,11,2750.0,0.0,0.2832457535612579,0.9697672444290555,106841.2743465017,,0.32970376499997656,4027151.778604052,815623.2018610876,4842774.980465139
11,jinan,Asia/Shanghai,2023,4200137,1451.416678468146,1915.218911125541,2954589.1907005934,1121.0799809244004,0.9923036858151084,0.9642439213044067,0.7329215635164036,True,19,4750.0,0.0,0.27884651383542736,0.8611063697955064,184544.01932577568,,0.32928511300002583,1799572.4475488763,2542536.868120035,4342109.315668912
12,jinan,Asia/Shanghai,2023,4200138,2298.1483745625305,1774.211673507436,2482173.328572866,834.4531420601327,0.9969966435441706,0.967464378345487,0.8001482372404685,True,17,4250.0,0.0,0.27854379942657503,0.948164728332973,165118.33308095718,,0.3026988270000288,2849412.271882426,2355343.593119894,5204755.86500232
13,jinan,Asia/Shanghai,2023,4200139,2582.7873069286593,1246.0098965976242,2498878.258300288,1525.7743366551679,0.9964386641665423,0.9465085603523987,0.7262115503114626,True,19,4750.0,0.0,0.26556571232045845,0.943885516774975,184544.01932577568,,0.33806775099998276,3202328.417731342,1654132.6329532212,4856461.050684563
14,jinan,Asia/Shanghai,2023,4200140,1359.338680646165,1864.6551727616488,1624297.4569312816,1177.2772592575545,0.9957057760051298,0.8895307663375678,0.7280679194127825,True,12,3000.0,0.0,0.3294497735390081,0.9505850672887681,116554.11746891096,,0.3227499219999572,1685407.4180545295,2475411.293997222,4160818.7120517516
15,jinan,Asia/Shanghai,2023,4200141,1757.3429579489116,1939.2174418577272,4480212.766171864,1706.2325102402958,0.9972392482405167,0.9220643441399762,0.8569526898504375,True,24,6000.0,0.0,0.28256843745642257,0.7655438382800153,233108.23493782192,,0.32005060900002036,2178882.201737294,2574395.9672615724,4753278.168998866
16,jinan,Asia/Shanghai,2023,4200142,553.5103519309632,396.4591941783229,5647143.074413681,1515.5439236552265,0.9920937666776979,0.9277692631539148,0.8212031641400022,True,0,0.0,0.0,0.4238896307439316,0.21124551876990727,0.0,,0.30071997300001385,686282.5772536444,526316.9197254609,1212599.4969791053
17,jinan,Asia/Shanghai,2023,4200143,3103.2168613280337,1285.592883209706,3562857.8463684013,923.8576607700558,0.9938329387773616,0.9386737923021977,0.873498126350465,True,25,6250.0,0.0,0.2376256292695999,0.9308325747413608,242821.07806023117,,0.3307861829999865,3847595.005115268,1706680.778873718,5554275.783988986
18,jinan,Asia/Shanghai,2023,4200144,1861.6906462288991,646.1112133124445,2683311.814987906,1444.419992340825,0.9973491188708152,0.8894750271868712,0.7133117713910356,True,22,5500.0,0.0,0.2506625832958437,0.8708367209092401,213682.5486930034,,0.3200121939999576,2308260.0899618343,857740.8938528267,3166000.983814661
19,jinan,Asia/Shanghai,2023,4200145,630.4251860383758,526.6971372737434,2683724.3555219797,749.1426061650966,0.995141093865685,0.9174636183132873,0.7098508239855188,True,4,1000.0,0.0,0.3516572696507002,0.4697946912412754,38851.37248963698,,0.32416643900000963,781647.2084590518,699213.4852431978,1480860.6937022496
20,jinan,Asia/Shanghai,2023,4200146,1620.8424153787148,1142.755307691747,2008359.51451858,1566.8419753039836,0.9904676567981859,0.9632357682116256,0.7198226283159751,True,16,4000.0,0.0,0.27215678074575955,0.9352135919802806,155405.48995854793,,0.3148946009999918,2009638.8554750378,1517057.6502602575,3526696.5057352954
21,jinan,Asia/Shanghai,2023,4200147,903.6566252394412,1164.9224647057472,4071114.3509520725,1600.6010017715805,0.9941651942903417,0.9146580546490318,0.827912654247422,True,8,2000.0,0.0,0.334478272852232,0.5241848008963688,77702.74497927396,,0.3497948959999917,1120419.5107790944,1546485.5206943369,2666905.0314734313
22,jinan,Asia/Shanghai,2023,4200148,1299.389952502538,451.5831397171223,3889386.370118729,983.645116032839,0.9920931294647598,0.9130760629103615,0.7732784899652495,True,10,2500.0,0.0,0.33236354989298855,0.5112390399145696,97128.43122409248,,0.34533827199999223,1611078.6046728825,599496.3683172003,2210574.9729900826
23,jinan,Asia/Shanghai,2023,4200149,1364.466842547385,1522.8076921585234,2512022.965628592,1372.7173803458975,0.997746471614933,0.8918892553571389,0.8228759481083839,True,16,4000.0,0.0,0.27150915837459916,0.8745487155955451,155405.48995854793,,0.3392117399999961,1691765.6878752578,2021593.812528952,3713359.50040421
24,jinan,Asia/Shanghai,2023,4200150,785.2872446898039,1506.2881308885683,1922466.0941176012,1710.3157517808766,0.9912366713703402,0.9662992221318172,0.8601768352170194,True,11,2750.0,0.0,0.29199777245039715,0.8482405796639886,106841.2743465017,,0.2876479479999716,973656.5039660721,1999663.372447121,2973319.876413193
25,jinan,Asia/Shanghai,2023,4200151,2281.0460133990623,1608.7233883331844,5475574.194915429,1724.4378879442625,0.9922804501845527,0.9331068305822479,0.7190098395128802,True,33,8250.0,0.0,0.2925960836630516,0.734892176186736,320523.8230395051,,0.3187719560000346,2828207.514906442,2135650.656791157,4963858.171697599
26,jinan,Asia/Shanghai,2023,4200152,2348.497100072364,508.32434736701987,4324753.057362209,1201.4027196473896,0.994193866376831,0.927036859796181,0.8527846780013176,True,26,6500.0,0.0,0.2745861063967471,0.7397393559810608,252533.92118264042,,0.31063431699999455,2911838.300562436,674822.803093649,3586661.103656085
27,jinan,Asia/Shanghai,2023,4200153,2897.7341495361998,1085.8757880357725,4497967.207613062,1703.7307299661425,0.9910776022965101,0.89053932093101,0.7175418023821536,True,35,8750.0,0.0,0.25761035662767195,0.8496199411920886,339949.50928432366,,0.32540734200000543,3592822.5251831193,1441547.6002465575,5034370.125429677
