,underprediction_rate,overprediction_rate,exact_match_rate,mean_underprediction_kwh,max_underprediction_kwh,mean_overprediction_kwh,max_overprediction_kwh
naive,0.5714285714285714,0.4285714285714285,0.0,6625.0,9500.0,3083.333333333333,3750.0
ridge,0.5714285714285714,0.4285714285714285,0.0,1985.6609308410332,3895.3872604370335,3425.098890788921,4378.028654586211
random_forest,0.4285714285714285,0.5714285714285714,0.0,1711.7982804232804,1994.3472222222224,3933.80646494709,5706.0138888888905
neural_network,0.8571428571428571,0.14285714285714285,0.0,6970.407002766927,12707.57568359375,2360.43994140625,2360.43994140625
