,n_scenarios,mean_extra_system_lcoe_eur_per_kwh,median_extra_system_lcoe_eur_per_kwh,max_extra_system_lcoe_eur_per_kwh,pct_within_5pct_of_optimal_lcoe,pct_satisfying_reliability,pct_undersized,pct_oversized,mean_excess_capacity_kwh,max_underprediction_kwh,additional_cost_from_oversizing_eur,n_reliability_violations,n_reliability_violations_from_undersizing,mean_curtailed_difference_kwh,mean_cost_difference_eur
naive,16.0,0.0216726023007922,0.015655588055562997,0.054489250738194994,0.5,1.0,0.375,0.625,421.875,2250.0,362363.47585815314,0.0,0.0,31606.05110104902,36722.87619531693
ridge,16.0,0.0013101569084022872,0.0010720753084055012,0.003945819643235676,1.0,1.0,0.125,0.625,203.125,500.0,36266.12619358022,0.0,0.0,-9520.314761882051,2855.2051191696446
random_forest,16.0,0.0016241964750127458,0.00039276247682307197,0.0064223061920414826,1.0,1.0,0.1875,0.5,93.75,750.0,26350.060718262917,0.0,0.0,-2051.306020541695,2743.453228386512
neural_network,16.0,0.03612474290958038,0.03608388541448225,0.0844809602498508,0.375,1.0,0.6875,0.25,-1703.125,4750.0,53143.12226970785,0.0,0.0,320118.2166604116,88330.34016170299
