,mae,rmse,r2,median_absolute_error,mape,max_absolute_error,mean_signed_error_bias,pct_within_5pct,pct_within_10pct,pct_within_20pct,n_samples
naive,1328.125,1481.6586988912122,-0.04182597613254546,1375.0,0.46265050411190123,2375.0,296.875,0.0625,0.125,0.25,16.0
ridge,233.57135439063458,323.961977314071,0.9501933980066604,141.52478547613055,0.0634399899012613,813.4915788689295,82.7316790326129,0.5,0.8125,1.0,16.0
random_forest,227.29166666666666,312.12922448527274,0.9537653368349233,158.33333333333326,0.06870293923124805,805.0,-36.7708333333334,0.4375,0.6875,0.9375,16.0
