timestamp,pv_kw,wind_kw,renewable_kw,load_kw,direct_supply_kwh,battery_charge_kwh,battery_discharge_kwh,battery_losses_kwh,curtailed_kwh,unserved_kwh,load_served_kwh,soc_kwh,diesel_output_kwh,diesel_fuel_l,still_unserved_kwh
2023-01-01 00:00:00+08:00,0.0,8.029160844597026,8.029160844597026,164.10258611796885,8.029160844597026,0.0,156.07342527337184,4.054530392887642,0.0,0.0,164.10258611796885,3406.5972188672645,0.0,0.0,0.0
2023-01-01 01:00:00+08:00,0.0,13.138883896910443,13.138883896910443,146.90673110361223,13.138883896910443,0.0,133.7678472067018,3.475068232408802,0.0,0.0,146.90673110361223,3269.354303428154,0.0,0.0,0.0
2023-01-01 02:00:00+08:00,0.0,18.461751690619685,18.461751690619685,151.81199837233135,18.461751690619685,0.0,133.35024668171167,3.464219658939669,0.0,0.0,151.81199837233135,3132.5398370875023,0.0,0.0,0.0
2023-01-01 03:00:00+08:00,0.0,27.810426086184922,27.810426086184922,152.93281420806596,27.810426086184922,0.0,125.12238812188104,3.250473452365526,0.0,0.0,152.93281420806596,3004.1669755132557,0.0,0.0,0.0
2023-01-01 04:00:00+08:00,0.0,43.45184317652111,43.45184317652111,141.3207775308264,43.45184317652111,0.0,97.8689343543053,2.5424736348549857,0.0,0.0,141.3207775308264,2903.7555675240956,0.0,0.0,0.0
2023-01-01 05:00:00+08:00,0.0,63.08996690171457,63.08996690171457,162.06440858763537,63.08996690171457,0.0,98.9744416859208,2.571192893548414,0.0,0.0,162.06440858763537,2802.2099329446264,0.0,0.0,0.0
2023-01-01 06:00:00+08:00,0.0,83.94851348309837,83.94851348309837,222.21208692881493,83.94851348309837,0.0,138.26357344571656,3.5918597915243993,0.0,0.0,222.21208692881493,2660.3544997073855,0.0,0.0,0.0
2023-01-01 07:00:00+08:00,20.061260825992687,99.37229379661203,119.43355462260472,267.76286520401345,119.43355462260472,0.0,148.32931058140872,3.853351054832018,0.0,0.0,267.76286520401345,2508.1718380711445,0.0,0.0,0.0
2023-01-01 08:00:00+08:00,202.98315913823367,69.1680464535314,272.15120559176506,294.57731153310823,272.15120559176506,0.0,22.426105941343167,0.5825932760431805,0.0,0.0,294.57731153310823,2485.163138853758,0.0,0.0,0.0
2023-01-01 09:00:00+08:00,441.276610940463,161.11202657749806,602.3886375179611,284.717159174356,284.717159174356,317.6714783436051,0.0,8.043621480949753,0.0,0.0,284.717159174356,2794.7909957164134,0.0,0.0,0.0
