,underprediction_rate,overprediction_rate,exact_match_rate,mean_underprediction_kwh,max_underprediction_kwh,mean_overprediction_kwh,max_overprediction_kwh
naive,0.46226415094339623,0.5031446540880503,0.03459119496855346,4272.108843537415,11750.0,2875.0,5750.0
ridge,0.4025157232704403,0.5974842767295597,0.0,1071.0237926537689,5656.2654167549335,931.8834151118004,2949.97301023436
random_forest,0.37735849056603776,0.6226415094339622,0.0,785.3541666666666,3963.333333333334,630.2356902356902,3153.333333333334
neural_network,0.4937106918238994,0.5062893081761006,0.0,377.43592319367036,3504.3095703125,289.3298991896351,2088.95703125
