,mae,rmse,r2,median_absolute_error,mape,max_absolute_error,mean_signed_error_bias,pct_within_5pct,pct_within_10pct,pct_within_20pct,n_samples
naive,3421.383647798742,4367.142539723675,-0.01485156134379162,3000.0,0.5131073201904739,11750.0,-528.3018867924528,0.07861635220125786,0.14465408805031446,0.31446540880503143,318.0
ridge,987.8896048142279,1335.688874071026,0.9050667373719167,721.3488278031873,0.12106029232138281,5656.2654167549335,125.68177173446436,0.27044025157232704,0.49056603773584906,0.789308176100629,318.0
random_forest,688.7709643605871,968.8907682716708,0.9500474773113206,458.75,0.07775508575202544,3963.333333333334,96.05083857442347,0.4056603773584906,0.710691823899371,0.9685534591194969,318.0
neural_network,332.8287852545204,538.8944391333581,0.9845469149744882,185.4677734375,0.03613653704660582,3504.3095703125,-39.85951626375786,0.7295597484276729,0.9433962264150944,0.9968553459119497,318.0
