scenario_id,predicted_capacity_kwh,installed_n_modules,installed_capacity_kwh,reference_n_modules,reference_capacity_kwh,excess_capacity_kwh,undersized,oversized,lpsp_target,verified_lpsp,reliability_pass,reference_lpsp,verified_cost_eur,reference_cost_eur,cost_difference_eur,verified_curtailed_kwh,reference_curtailed_kwh,curtailed_difference_kwh
6,1738.8694,7,1750.0,14,3500.0,-1750.0,True,False,0.0066616994452379785,0.05191469725825989,False,0.005838546427697339,67989.90185686472,135979.80371372943,-67989.90185686472,3639917.647710018,3572431.590389018,67486.05732099991
9,6472.603,26,6500.0,54,13500.0,-7000.0,True,False,0.003561335833457635,0.018668699289121474,False,0.0035173748111203833,252533.92118264042,524493.5286100993,-271959.6074274589,2706468.9280245965,2670310.8000064837,36158.12801811285
13,2376.7573,10,2500.0,34,8500.0,-6000.0,True,False,0.009532343201813953,0.0854750458697148,False,0.009004147154161935,97128.43122409248,330236.66616191436,-233108.23493782186,1986696.239388478,1848648.7599140266,138047.4794744514
40,7360.44,30,7500.0,20,5000.0,2500.0,False,True,0.009718448383885248,0.0020978066957244787,True,0.008773560770828462,291385.2936722774,194256.86244818495,97128.43122409246,2337944.3447429785,2347313.9357333183,-9369.590990339871
73,4042.4243,17,4250.0,67,16750.0,-12500.0,True,False,0.007225001164424372,0.05238467503617486,False,0.0070419228202536,165118.33308095718,650760.4892014195,-485642.15612046234,1467032.5842633478,1366253.2752414506,100779.30902189715
80,1552.3317,7,1750.0,16,4000.0,-2250.0,True,False,0.007247797941352774,0.07124451173610051,False,0.007039015699276663,67989.90185686472,155405.48995854793,-87415.58810168321,3326079.499593653,3225360.04507392,100719.45451973286
86,4994.5723,20,5000.0,67,16750.0,-11750.0,True,False,0.0030768167683159486,0.022684945971924244,False,0.0029619240265090514,194256.86244818495,650760.4892014195,-456503.62675323454,766687.7165297356,741606.6239677013,25081.09256203426
