,n_scenarios,pct_satisfying_reliability,pct_undersized,pct_oversized,mean_excess_capacity_kwh,max_underprediction_kwh,additional_cost_from_oversizing_eur,n_reliability_violations,n_reliability_violations_from_undersizing,mean_curtailed_difference_kwh,mean_cost_difference_eur
naive,318.0,0.5377358490566038,0.46226415094339623,0.5031446540880503,-528.3018867924528,11750.0,17871631.34523301,147.0,147.0,6265.923323928856,-20525.253390751637
ridge,318.0,0.6823899371069182,0.31761006289308175,0.5974842767295597,254.71698113207546,5500.0,7857690.086029083,101.0,101.0,-462.84946956318373,9896.104313398106
random_forest,318.0,0.7327044025157232,0.2672955974842767,0.6226415094339622,215.40880503144655,3750.0,5827705.873445548,85.0,85.0,-967.7210678587323,8368.92772182432
neural_network,318.0,0.7924528301886793,0.20754716981132076,0.5062893081761006,88.83647798742139,3500.0,2768160.2898866367,66.0,66.0,-399.6486967041883,3451.4190969567508
