scenario_id,predicted_capacity_kwh,installed_n_modules,installed_capacity_kwh,reference_n_modules,reference_capacity_kwh,excess_capacity_kwh,undersized,oversized,lpsp_target,verified_lpsp,reliability_pass,reference_lpsp,verified_cost_eur,reference_cost_eur,cost_difference_eur,verified_curtailed_kwh,reference_curtailed_kwh,curtailed_difference_kwh
1,92.16,6,92.16,21,322.56,-230.4,True,False,0.0016591151003624294,0.021910718129401565,False,0.001322134349338804,6564.3278958490655,22975.14763547173,-16410.819739622664,20603.114854830812,19988.157236682186,614.9576181486264
8,92.16,6,92.16,16,245.76,-153.6,True,False,0.0072644491174364,0.034562128824664584,False,0.006941658260161618,6564.3278958490655,17504.87438893084,-10940.546493081772,22918.14808188417,21912.443287195783,1005.7047946883868
13,92.16,6,92.16,11,168.95999999999998,-76.79999999999998,True,False,0.0018765784311054468,0.007445974342476996,False,0.0015142301268134058,6564.3278958490655,12034.601142389953,-5470.273246540887,29561.982136033956,29427.444175335153,134.53796069880264
24,92.16,6,92.16,16,245.76,-153.6,True,False,0.0025199859508759914,0.014755142342645786,False,0.002297425009256646,6564.3278958490655,17504.87438893084,-10940.546493081772,20620.495229519627,20346.76943712797,273.7257923916586
35,92.16,6,92.16,10,153.6,-61.44,True,False,0.005459263866799957,0.014404033178724816,False,0.004889154063471021,6564.3278958490655,10940.546493081774,-4376.218597232709,23822.358817629396,23566.85683481998,255.5019828094155
65,92.16,6,92.16,9,138.24,-46.08000000000001,True,False,0.005552725181343199,0.014832733594251846,False,0.005283123693905882,6564.3278958490655,9846.491843773598,-3282.1639479245323,25412.741932852885,25170.598184859664,242.14374799322104
69,92.16,6,92.16,26,399.36,-307.20000000000005,True,False,0.0010871050210635724,0.025477474195470227,False,0.0009079601606181303,6564.3278958490655,28445.42088201261,-21881.092986163545,30839.38323826238,29952.128420247234,887.2548180151462
85,92.16,6,92.16,7,107.52,-15.36,True,False,0.008311656862544425,0.009783302071061668,False,0.006340137504975228,6564.3278958490655,7658.382545157243,-1094.0546493081774,23478.016594601788,23396.583888508874,81.43270609291358
93,92.16,6,92.16,15,230.39999999999998,-138.23999999999998,True,False,0.007002152550904417,0.03458367694807001,False,0.006900026057342869,6564.3278958490655,16410.81973962266,-9846.491843773594,19371.09692385295,18457.36612242006,913.7308014328919
