model,train_time_s,inference_time_s,denominator_positive,n_break_even_scenarios
ridge,0.03085717799996246,0.00015095171428518888,True,100.01098996227655
random_forest,0.9351384779999989,0.002971756428572852,True,100.29491916130823
neural_network,22.1,0.04934140771428831,True,106.54245210132959
