timestamp,pv_kw,wind_kw,renewable_kw,load_kw,direct_supply_kwh,battery_charge_kwh,battery_discharge_kwh,battery_losses_kwh,curtailed_kwh,unserved_kwh,load_served_kwh,soc_kwh
2023-01-01 00:00:00+08:00,0.0,8.029160844597026,8.029160844597026,164.10258611796885,8.029160844597026,0.0,156.07342527337184,4.054530392887642,0.0,0.0,164.10258611796885,7435.963805830692
2023-01-01 01:00:00+08:00,0.0,13.138883896910443,13.138883896910443,146.90673110361223,13.138883896910443,0.0,133.7678472067018,3.475068232408802,0.0,0.0,146.90673110361223,7298.720890391582
2023-01-01 02:00:00+08:00,0.0,18.461751690619685,18.461751690619685,151.81199837233135,18.461751690619685,0.0,133.35024668171167,3.464219658939669,0.0,0.0,151.81199837233135,7161.906424050931
2023-01-01 03:00:00+08:00,0.0,27.810426086184922,27.810426086184922,152.93281420806596,27.810426086184922,0.0,125.12238812188104,3.250473452365526,0.0,0.0,152.93281420806596,7033.533562476684
2023-01-01 04:00:00+08:00,0.0,43.45184317652111,43.45184317652111,141.3207775308264,43.45184317652111,0.0,97.8689343543053,2.5424736348549857,0.0,0.0,141.3207775308264,6933.122154487523
2023-01-01 05:00:00+08:00,0.0,63.08996690171457,63.08996690171457,162.06440858763537,63.08996690171457,0.0,98.9744416859208,2.571192893548414,0.0,0.0,162.06440858763537,6831.576519908054
2023-01-01 06:00:00+08:00,0.0,83.94851348309837,83.94851348309837,222.21208692881493,83.94851348309837,0.0,138.26357344571656,3.5918597915243993,0.0,0.0,222.21208692881493,6689.721086670814
2023-01-01 07:00:00+08:00,20.061260825992687,99.37229379661203,119.43355462260472,267.76286520401345,119.43355462260472,0.0,148.32931058140872,3.853351054832018,0.0,0.0,267.76286520401345,6537.538425034573
2023-01-01 08:00:00+08:00,202.98315913823367,69.1680464535314,272.15120559176506,294.57731153310823,272.15120559176506,0.0,22.426105941343167,0.5825932760431805,0.0,0.0,294.57731153310823,6514.529725817187
2023-01-01 09:00:00+08:00,441.276610940463,161.11202657749806,602.3886375179611,284.717159174356,284.717159174356,317.6714783436051,0.0,8.043621480949753,0.0,0.0,284.717159174356,6824.157582679842
2023-01-01 10:00:00+08:00,645.7261310109678,112.17063849613204,757.8967695070999,305.14441035321425,305.14441035321425,452.7523591538856,0.0,11.463945773884689,0.0,0.0,305.14441035321425,7265.445996059842
2023-01-01 11:00:00+08:00,769.6182493954609,158.60028625183597,928.2185356472969,303.9463718585981,303.9463718585981,624.2721637886988,0.0,15.806924224964405,0.0,0.0,303.9463718585981,7873.911235623576
2023-01-01 12:00:00+08:00,638.6620098865938,91.932285253858,730.5942951404518,295.5539833087414,295.5539833087414,435.04031183171037,0.0,11.015466719186122,0.0,0.0,295.5539833087414,8297.9360807361
2023-01-01 13:00:00+08:00,644.5241025148442,36.93555855002289,681.4596610648671,301.9053993296282,301.9053993296282,379.55426173523887,0.0,9.610528552322137,0.0,0.0,301.9053993296282,8667.879813919018
2023-01-01 14:00:00+08:00,521.9421980868585,0.0,521.9421980868585,285.27343342789965,285.27343342789965,236.66876465895888,0.0,5.99258696187249,0.0,0.0,285.27343342789965,8898.555991616106
2023-01-01 15:00:00+08:00,257.7277683594398,0.0,257.7277683594398,278.9506129391596,257.7277683594398,0.0,21.222844579719833,0.551334528740469,0.0,0.0,278.9506129391596,8876.781812507645
2023-01-01 16:00:00+08:00,57.59651172728861,0.0,57.59651172728861,299.1233608651025,57.59651172728861,0.0,241.52684913781388,6.27446952492005,0.0,0.0,299.1233608651025,8628.98049384491
2023-01-01 17:00:00+08:00,0.0,1.7747969775030576,1.7747969775030576,283.46921362421375,1.7747969775030576,0.0,281.6944166467107,7.317956736070357,0.0,0.0,283.46921362421375,8339.96812046213
2023-01-01 18:00:00+08:00,0.0,3.8296949606663806,3.8296949606663806,299.030571592245,3.8296949606663806,0.0,295.20087663157864,7.66883230898128,0.0,0.0,299.030571592245,8037.098411521571
2023-01-01 19:00:00+08:00,0.0,8.72099512995756,8.72099512995756,279.4774001651169,8.72099512995756,0.0,270.75640503515933,7.03380521931399,0.0,0.0,279.4774001651169,7759.3082012670975
2023-01-01 20:00:00+08:00,0.0,11.241759299703336,11.241759299703336,263.3361291610562,11.241759299703336,0.0,252.09436986135285,6.54899629894328,0.0,0.0,263.3361291610562,7500.664835106802
2023-01-01 21:00:00+08:00,0.0,8.72099512995756,8.72099512995756,243.73457831056427,8.72099512995756,0.0,235.0135831806067,6.105265608659465,0.0,0.0,243.73457831056427,7259.545986317536
2023-01-01 22:00:00+08:00,0.0,4.134818806627789,4.134818806627789,231.89281458144757,4.134818806627789,0.0,227.7579957748198,5.916777404447316,0.0,0.0,231.89281458144757,7025.871213138268
