scenario_id,predicted_capacity_kwh,installed_n_modules,installed_capacity_kwh,reference_n_modules,reference_capacity_kwh,excess_capacity_kwh,undersized,oversized,lpsp_target,verified_lpsp,reliability_pass,reference_lpsp,verified_cost_eur,reference_cost_eur,cost_difference_eur,verified_curtailed_kwh,reference_curtailed_kwh,curtailed_difference_kwh
6,6788.783068783068,28,7000.0,14,3500.0,3500.0,False,True,0.0066616994452379785,0.0004133603234232021,True,0.005838546427697339,271959.60742745886,135979.80371372943,135979.80371372943,3564485.518206111,3572431.590389018,-7946.072182906792
9,12021.827380952382,49,12250.0,54,13500.0,-1250.0,True,False,0.003561335833457635,0.004719097883821871,False,0.0035173748111203833,475929.31299805304,524493.5286100993,-48564.215612046304,2673178.671839613,2670310.8000064837,2867.8718331293203
13,14206.01388888889,57,14250.0,34,8500.0,5750.0,False,True,0.009532343201813953,0.0031204832292471515,True,0.009004147154161935,553632.057977327,330236.66616191436,223395.39181541267,1838027.399520049,1848648.7599140266,-10621.360393977491
40,8800.395833333334,36,9000.0,20,5000.0,4000.0,False,True,0.009718448383885248,0.00014998413894327448,True,0.008773560770828462,349662.3524067329,194256.86244818495,155405.48995854796,2335210.5261400943,2347313.9357333183,-12103.40959322406
73,15087.125,61,15250.0,67,16750.0,-1500.0,True,False,0.007225001164424372,0.008237828664908528,False,0.0070419228202536,592483.430466964,650760.4892014195,-58277.058734455495,1368911.3089687738,1366253.2752414506,2658.0337273231708
80,6940.033068783067,28,7000.0,16,4000.0,3000.0,False,True,0.007247797941352774,0.0012715424258320323,True,0.007039015699276663,271959.60742745886,155405.48995854793,116554.11746891093,3216312.5834403345,3225360.04507392,-9047.461633585393
86,14755.652777777777,60,15000.0,67,16750.0,-1750.0,True,False,0.0030768167683159486,0.003961430841473013,False,0.0029619240265090514,582770.5873445548,650760.4892014195,-67989.90185686469,742877.6626052831,741606.6239677013,1271.038637581747
