battery_cost_eur_per_kwh,mean_system_lcoe_eur_per_kwh,median_system_lcoe_eur_per_kwh,p10_system_lcoe_eur_per_kwh,p90_system_lcoe_eur_per_kwh,mean_battery_share_of_total_cost
220,0.3595931500772988,0.34668561603776094,0.28316197166262647,0.45491049741916334,0.3307067153230279
300,0.40250493857530445,0.38502277992615597,0.3229006623239953,0.5049187763491525,0.39246532819240765
400,0.45614467419781163,0.42833262121472937,0.3657782631629395,0.5704521646850889,0.45294185788865615
