n_train,mae,rmse,r2,n_test,runtime_s
100,588.3425328931542,805.0631599740323,0.8483325455801773,751,46.67560935020447
250,254.19442385331928,384.24720982435133,0.9654495319052898,751,62.40792679786682
500,173.9333398567535,243.5806617586696,0.9861158881876736,751,44.52096438407898
1000,141.05390985034276,194.5061727370949,0.9911468205502577,751,49.7070894241333
2000,130.49115209668358,176.25395589913208,0.9927304046562351,751,37.756272315979004
3500,111.49495606606555,147.3848793546191,0.9949167864988343,751,57.4471640586853
