n_train,mae,rmse,r2,n_test,runtime_s
100,790.0553398581112,1381.872114230566,0.8697155176057748,680,58.07777142524719
250,598.9318626852596,1124.8843554501348,0.9136678136479065,680,45.557212591171265
500,480.0290453742532,933.2038606910437,0.9405830931237349,680,51.285688400268555
1000,228.59781673655792,453.3714107213598,0.9859762149445572,680,79.03293228149414
2000,179.92984601189107,369.54783909087797,0.9906825231978381,680,73.05586886405945
3168,179.31243627211626,368.0623584215327,0.990757280032252,680,41.90033459663391
