n_modules,nominal_battery_capacity_kwh,usable_battery_capacity_kwh,rated_battery_power_kw,annual_load_kwh,peak_load_kw,annual_pv_kwh,annual_wind_kwh,total_renewable_kwh,direct_renewable_consumption_kwh,load_served_kwh,load_served_fraction,lpsp,unserved_energy_kwh,hours_with_unmet_load,curtailed_energy_kwh,renewable_utilization,battery_charge_kwh,battery_discharge_kwh,battery_losses_kwh,battery_self_discharge_kwh,min_soc_kwh,max_soc_kwh,mean_soc_kwh,battery_throughput_kwh,equivalent_full_cycles,initial_cost_eur,replacement_cost_eur,present_value_cost_eur,equivalent_annual_cost_eur,cost_per_kwh_served_eur,candidate_runtime_seconds,diesel_rated_power_kw,diesel_annual_energy_kwh,diesel_annual_fuel_l,diesel_annual_fuel_cost_eur,diesel_annualized_capital_cost_eur,still_unserved_energy_kwh,lpsp_after_diesel,renewable_share,pv_annualized_cost_eur,wind_annualized_cost_eur,battery_annualized_cost_eur,total_annualized_cost_eur,system_lcoe_eur_per_kwh
20,5000.0,4250.0,2500.0,4500000.0,1199.4311185033173,2231771.519262632,1924938.4168870044,4156709.9361496363,2291448.4923474477,3258942.6293930914,0.7242094731984647,0.27579052680153504,1241057.3706069076,3573,846335.8581269603,0.796392851286871,1018925.5856752282,967494.1370456442,50933.675383674825,554.508391909138,500.0,4750.0,1826.4194338507211,1986419.7227208724,227.64567930485745,1500000.0,1500000.0,2420869.880311139,194256.86244818495,0.05960732806283281,0.002656935999993948,1499.2888981291467,1241057.3706069076,741624.442698407,667461.9984285663,145050.8309747663,0.0,0.0,0.724209473198465,120005.65986027101,183122.10171180282,194256.86244818495,1309897.4534235913,0.2910883229830203
21,5250.0,4462.5,2625.0,4500000.0,1199.4311185033173,2231771.519262632,1924938.4168870044,4156709.9361496363,2291448.4923474477,3280971.8128355555,0.7291048472967901,0.27089515270320985,1219028.1871644442,3486,823119.7411016561,0.8019780658873416,1042141.7027005323,989523.3204881076,52093.80247952997,582.6232183946616,525.0,4987.5,1919.0230196996592,2031665.02318864,221.74192055755913,1575000.0,1575000.0,2541913.3743266957,203969.70557059417,0.062167466594086604,0.0024221099999977014,1499.2888981291467,1219028.1871644442,725581.077546083,653022.9697914748,145050.8309747663,0.0,0.0,0.7291048472967901,120005.65986027101,183122.10171180282,203969.70557059417,1305171.2679089091,0.29003805953531314
22,5500.0,4675.0,2750.0,4500000.0,1199.4311185033173,2231771.519262632,1924938.4168870044,4156709.9361496363,2291448.4923474477,3301173.99928857,0.7335942220641267,0.2664057779358731,1198826.000711429,3400,801826.5671285857,0.8071006686910374,1063434.8766736027,1009725.5069411227,53157.77719879114,610.8559807888555,550.0,5225.0,2012.0150585225604,2073160.3836147254,215.98406565585512,1650000.0,1650000.0,2662956.8683422524,213682.5486930034,0.06472925957221695,0.0022719099999903847,1499.2888981291467,1198826.000711429,710109.2707339161,639098.3436605245,145050.8309747663,0.0,0.0,0.7335942220641269,120005.65986027101,183122.10171180282,213682.5486930034,1300959.484900368,0.2891021077556373
23,5750.0,4887.5,2875.0,4500000.0,1199.4311185033173,2231771.519262632,1924938.4168870044,4156709.9361496363,2291448.4923474477,3318484.427230343,0.7374409838289652,0.2625590161710347,1181515.5727696563,3322,783577.9174484148,0.8114908354239787,1081683.5263537737,1027035.9348828953,54069.53972046914,638.633934409219,575.0,5462.5,2103.509064862372,2108719.4612366688,210.13522964355914,1725000.0,1725000.0,2784000.362357809,223395.39181541264,0.06731849936745425,0.0023360119998869777,1499.2888981291467,1181515.5727696563,696325.7731615358,626693.1958453823,145050.8309747663,0.0,0.0,0.7374409838289653,120005.65986027101,183122.10171180282,223395.39181541264,1298267.180207635,0.2885038178239189
24,6000.0,5100.0,3000.0,4500000.0,1199.4311185033173,2231771.519262632,1924938.4168870044,4156709.9361496363,2291448.4923474477,3334677.010802528,0.7410393357338951,0.2589606642661048,1165322.9891974716,3250,766505.3592998858,0.8155980640761523,1098756.0845023026,1043228.5184550802,54922.483184854165,666.8850079681293,600.0,5700.0,2196.561416329007,2141984.602957383,204.55461146178044,1800000.0,1800000.0,2905043.8563733664,233108.23493782192,0.06990429183476507,0.0025093140000080894,1499.2888981291467,1165322.9891974716,683549.9677885897,615194.9710097307,145050.8309747663,0.0,0.0,0.7410393357338951,120005.65986027101,183122.10171180282,233108.23493782192,1296481.7984943928,0.28810706633208727
25,6250.0,5312.5,3125.0,4500000.0,1199.4311185033173,2231771.519262632,1924938.4168870044,4156709.9361496363,2291448.4923474477,3349664.718018763,0.7443699373375028,0.25563006266249694,1150335.2819812363,3199,750700.9918465541,0.819400197902207,1114560.4519556344,1058216.2256713153,55712.014641456815,695.5274766120762,625.0,5937.5,2290.9029305928984,2172776.6776269497,199.19364247930642,1875000.0,1875000.0,3026087.3503889237,242821.07806023117,0.07249115911632295,0.002385813000046255,1499.2888981291467,1150335.2819812363,673635.0206950123,606271.5186255111,145050.8309747663,0.0,0.0,0.744369937337503,120005.65986027101,183122.10171180282,242821.07806023117,1297271.1892325825,0.2882824864961294
26,6500.0,5525.0,3250.0,4500000.0,1199.4311185033173,2231771.519262632,1924938.4168870044,4156709.9361496363,2291448.4923474477,3363827.449526581,0.7475172110059068,0.25248278899409304,1136172.5504734188,3144,735765.0791999404,0.8229934033161139,1129496.364602248,1072378.957179133,56458.12482181059,724.0722665046663,650.0,6175.0,2384.9227141616075,2201875.321781381,194.09573885595168,1950000.0,1950000.0,3147130.8444044804,252533.92118264042,0.07507338737549739,0.002356070000132604,1499.2888981291467,1136172.5504734188,663434.5493026951,597091.0943724256,145050.8309747663,0.0,0.0,0.747517211005907,120005.65986027101,183122.10171180282,252533.92118264042,1297803.6081019063,0.2884008018004236
27,6750.0,5737.5,3375.0,4500000.0,1199.4311185033173,2231771.519262632,1924938.4168870044,4156709.9361496363,2291448.4923474477,3377002.6114956327,0.7504450247768073,0.2495549752231927,1122997.388504367,3093,721868.4823303195,0.8263365754602096,1143392.9614718691,1085554.1191481848,57152.263509751356,752.7608642831588,675.0,6412.5,2479.4161668795755,2228947.080620054,189.2033323134091,2025000.0,2025000.0,3268174.338420037,262246.76430504967,0.07765666612526066,0.0025897279999753664,1499.2888981291467,1122997.388504367,653965.4883399247,588568.9395059323,145050.8309747663,0.0,0.0,0.7504450247768073,120005.65986027101,183122.10171180282,262246.76430504967,1298994.2963578221,0.2886653991906271
28,7000.0,5950.0,3500.0,4500000.0,1199.4311185033173,2231771.519262632,1924938.4168870044,4156709.9361496363,2291448.4923474477,3389496.2296813694,0.7532213843736376,0.2467786156263622,1110503.77031863,3051,708688.8828326722,0.8295072560465618,1156572.5609695164,1098047.7373339217,57810.54203439365,782.0414570010083,700.0,6650.0,2575.859510848469,2254620.2983034384,184.5458382073818,2100000.0,2100000.0,3389217.832435594,271959.60742745886,0.08023599644275885,0.0024335049999990588,1499.2888981291467,1110503.77031863,645763.1408746236,581186.8267871612,145050.8309747663,0.0,0.0,0.7532213843736378,120005.65986027101,183122.10171180282,271959.60742745886,1301325.0267614601,0.28918333928032447
29,7250.0,6162.5,3625.0,4500000.0,1199.4311185033173,2231771.519262632,1924938.4168870044,4156709.9361496363,2291448.4923474477,3401035.9619210763,0.7557857693157948,0.24421423068420517,1098964.0380789232,3025,696514.6442149109,0.8324360720584479,1168746.7995872775,1109587.4695736286,58418.58386805138,810.3732011476943,725.0,6887.5,2669.177572142879,2278334.269160906,180.0547617969377,2175000.0,2175000.0,3510261.326451151,281672.45054986817,0.0828196037041506,0.002228475000038088,1499.2888981291467,1098964.0380789232,639749.3226440875,575774.3903796788,145050.8309747663,0.0,0.0,0.7557857693157948,120005.65986027101,183122.10171180282,281672.45054986817,1305625.433476387,0.2901389852169749
30,7500.0,6375.0,3750.0,4500000.0,1199.4311185033173,2231771.519262632,1924938.4168870044,4156709.9361496363,2291448.4923474477,3411131.3131323517,0.7580291806960782,0.24197081930392172,1088868.6868676478,2983,685860.4269704615,0.8349992091086889,1179401.016831727,1119682.8207849036,58950.61526203402,838.621020289133,750.0,7125.0,2762.2192043284635,2299083.837616631,175.63652090743585,2250000.0,2250000.0,3631304.8204667084,291385.2936722774,0.08542189289239235,0.0022333140000228013,1499.2888981291467,1088868.6868676478,632136.9488545038,568923.2539690534,145050.8309747663,0.0,0.0,0.7580291806960783,120005.65986027101,183122.10171180282,291385.2936722774,1308487.140188171,0.29077492004181577
31,7750.0,6587.5,3875.0,4500000.0,1199.4311185033173,2231771.519262632,1924938.4168870044,4156709.9361496363,2291448.4923474477,3420543.8829025477,0.7601208628672328,0.23987913713276707,1079456.1170974518,2954,675924.7933576719,0.8373894729869504,1189336.6504445164,1129095.3905551,59446.7141754167,867.3093185501251,775.0,7362.5,2856.7116705066533,2318432.0409996165,171.39967978066034,2325000.0,2325000.0,3752348.314482265,301098.13679468667,0.08802639203072754,0.0024109399998906156,1499.2888981291467,1079456.1170974518,626280.0613492096,563652.0552142886,145050.8309747663,0.0,0.0,0.7601208628672329,120005.65986027101,183122.10171180282,301098.13679468667,1312928.7845558154,0.2917619521235145
32,8000.0,6800.0,4000.0,4500000.0,1199.4311185033173,2231771.519262632,1924938.4168870044,4156709.9361496363,2291448.4923474477,3428897.1177283674,0.7619771372729706,0.23802286272702924,1071102.8822716316,2926,667103.959947282,0.8395115439387092,1198157.4838549066,1137448.6253809198,59887.0659410727,896.3210961140611,800.0,7600.0,2952.2696009661945,2335606.1092358264,167.27185667366467,2400000.0,2400000.0,3873391.808497822,310810.97991709586,0.09064459190394346,0.002343236000115212,1499.2888981291467,1071102.8822716316,620805.8873209846,558725.2985888862,145050.8309747663,0.0,0.0,0.7619771372729708,120005.65986027101,183122.10171180282,310810.97991709586,1317714.871052822,0.29282552690062713
33,8250.0,7012.5,4125.0,4500000.0,1199.4311185033173,2231771.519262632,1924938.4168870044,4156709.9361496363,2291448.4923474477,3436494.8335277475,0.7636655185617217,0.23633448143827826,1063505.1664722522,2901,659078.1124459137,0.8414423612496719,1206183.331356275,1145046.3411802994,60287.66107465666,925.6148251187453,825.0,7837.5,3048.7562127556794,2351229.6725365743,163.2864657654616,2475000.0,2475000.0,3994435.3025133787,320523.8230395051,0.09327056741431795,0.0023162260001754476,1499.2888981291467,1063505.1664722522,615883.9222155218,554295.5299939696,145050.8309747663,0.0,0.0,0.7636655185617217,120005.65986027101,183122.10171180282,320523.8230395051,1322997.9455803148,0.2939995434622922
34,8500.0,7225.0,4250.0,4500000.0,1199.4311185033173,2231771.519262632,1924938.4168870044,4156709.9361496363,2291448.4923474477,3443653.2733350326,0.7652562829633406,0.23474371703665925,1056346.7266649667,2877,651515.1263615314,0.8432618257301278,1213746.317440657,1152204.780987585,60665.12462902038,954.4495097515743,850.0,8075.0,3143.7308410044566,2365951.098428242,159.47471017129203,2550000.0,2550000.0,4115478.796528936,330236.66616191436,0.09589718823291815,0.002237310000055004,1499.2888981291467,1056346.7266649667,611192.1360848667,550072.92247638,145050.8309747663,0.0,0.0,0.7652562829633407,120005.65986027101,183122.10171180282,330236.66616191436,1328488.1811851347,0.2952195958189188
35,8750.0,7437.5,4375.0,4500000.0,1199.4311185033173,2231771.519262632,1924938.4168870044,4156709.9361496363,2291448.4923474477,3450478.0727924076,0.7667729050649794,0.23322709493502042,1049521.927207592,2861,644303.5138206681,0.8449967585620162,1220957.9299815204,1159029.58044496,61025.02378007394,983.2341077365551,875.0,8312.5,3238.5404956867287,2379987.5104264803,155.83590997579293,2625000.0,2625000.0,4236522.290544493,339949.50928432366,0.09852243721381161,0.002265169999873251,1499.2888981291467,1049521.927207592,607559.3621263106,546803.4259136795,145050.8309747663,0.0,0.0,0.7667729050649796,120005.65986027101,183122.10171180282,339949.50928432366,1334931.5277448432,0.2966514506099652
36,9000.0,7650.0,4500.0,4500000.0,1199.4311185033173,2231771.519262632,1924938.4168870044,4156709.9361496363,2291448.4923474477,3457302.7671184586,0.7682895038041019,0.23171049619589798,1042697.2328815409,2848,637092.1181092223,0.8467316392301933,1228169.325692966,1165854.274771011,61384.9147097455,1011.9533528099138,900.0,8550.0,3333.134893342181,2394023.600463977,152.39925160405372,2700000.0,2700000.0,4357565.78456005,349662.3524067329,0.10113732466021895,0.0022924870002043463,1499.2888981291467,1042697.2328815409,604292.965272318,543863.6687450862,145050.8309747663,0.0,0.0,0.768289503804102,120005.65986027101,183122.10171180282,349662.3524067329,1341704.6136986592,0.29815658082192426
