,pv_kw,wind_kw,renewable_kw,load_kw,direct_supply_kwh,battery_charge_kwh,battery_discharge_kwh,battery_losses_kwh,self_discharge_kwh,curtailed_kwh,unserved_kwh,load_served_kwh,soc_kwh,diesel_output_kwh,diesel_fuel_l,still_unserved_kwh
2023-01-01 00:00:00+08:00,0.0,8.482064137250076,8.482064137250076,468.7256305673546,8.482064137250076,0.0,0.0,0.0,0.02079479999997602,0.0,460.2435664301045,468.7256305673546,600.0,460.2435664301045,235.3369980944247,0.0
2023-01-01 01:00:00+08:00,0.0,13.172311046127856,13.172311046127856,313.88137054716094,13.172311046127856,0.0,0.0,0.0,0.02079479999997602,0.0,300.7090595010331,313.88137054716094,600.0,300.7090595010331,196.09150938987312,0.0
2023-01-01 02:00:00+08:00,0.0,19.034609103998747,19.034609103998747,284.2486499401408,19.034609103998747,0.0,0.0,0.0,0.02079479999997602,0.0,265.2140408361421,284.2486499401408,600.0,265.2140408361421,187.35973479830994,0.0
2023-01-01 03:00:00+08:00,0.0,28.053529193030908,28.053529193030908,256.40579023067716,28.053529193030908,0.0,0.0,0.0,0.02079479999997602,0.0,228.35226103764626,256.40579023067716,600.0,228.35226103764626,178.29173696787996,0.0
2023-01-01 04:00:00+08:00,0.0,44.20564287723821,44.20564287723821,206.90724286791615,44.20564287723821,0.0,0.0,0.0,0.02079479999997602,0.0,162.70159999067795,206.90724286791615,600.0,162.70159999067795,162.14167435032576,0.0
2023-01-01 05:00:00+08:00,0.0,63.911033041612754,63.911033041612754,231.46113716836084,63.911033041612754,0.0,0.0,0.0,0.02079479999997602,0.0,167.55010412674807,231.46113716836084,600.0,167.55010412674807,163.334406367799,0.0
2023-01-01 06:00:00+08:00,0.0,84.03395265395623,84.03395265395623,324.6883827386849,84.03395265395623,0.0,0.0,0.0,0.02079479999997602,0.0,240.65443008472863,324.6883827386849,600.0,240.65443008472863,181.31807055346223,0.0
2023-01-01 07:00:00+08:00,15.513509401963827,100.37981360870629,115.89332301067012,472.10176586388025,115.89332301067012,0.0,0.0,0.0,0.02079479999997602,0.0,356.20844285321016,472.10176586388025,600.0,356.20844285321016,209.7443576945087,0.0
2023-01-01 08:00:00+08:00,188.38134964711688,70.05284308571402,258.43419273283087,689.7686269650397,258.43419273283087,0.0,0.0,0.0,0.02079479999997602,0.0,431.3344342322089,689.7686269650397,600.0,431.3344342322089,228.2253515737424,0.0
2023-01-01 09:00:00+08:00,427.0679197576995,161.51477065015922,588.5826904078588,774.238473278321,588.5826904078588,0.0,0.0,0.0,0.02079479999997602,0.0,185.6557828704622,774.238473278321,600.0,185.6557828704622,167.7884033387527,0.0
2023-01-01 10:00:00+08:00,635.8691195573538,112.87958963292688,748.7487091902807,792.9777347953539,748.7487091902807,0.0,0.0,0.0,0.02079479999997602,0.0,44.22902560507316,792.9777347953539,600.0,44.22902560507316,132.99742105146697,0.0
2023-01-01 11:00:00+08:00,763.9690775448206,159.17432361879045,923.1434011636111,635.0885178518977,635.0885178518977,288.0548833117134,0.0,7.29371254599198,0.02079479999997602,0.0,0.0,635.0885178518977,880.7403759657215,0.0,0.0,0.0
2023-01-01 12:00:00+08:00,635.831967161989,92.68764374764741,728.5196109096364,525.1516478031301,525.1516478031301,203.3679631065063,0.0,5.149391834324945,0.030524699950206013,0.0,0.0,525.1516478031301,1078.9284225379527,0.0,0.0,0.0
2023-01-01 13:00:00+08:00,641.0509446629795,37.60543317571923,678.6563778386987,545.0545026420783,545.0545026420783,133.60187519662043,0.0,3.382875034391134,0.03739350126829777,0.0,0.0,545.0545026420783,1209.1100291989137,0.0,0.0,0.0
2023-01-01 14:00:00+08:00,516.4231340122559,0.0,516.4231340122559,524.8459106928804,516.4231340122559,0.0,8.422776680624452,0.21880985814388865,0.041905335391902554,0.0,0.0,524.8459106928804,1200.4265373247536,0.0,0.0,0.0
2023-01-01 15:00:00+08:00,251.99440685340588,0.0,251.99440685340588,468.3284110020084,251.99440685340588,0.0,216.33400414860253,5.620000927763584,0.04160438293070001,0.0,0.0,468.3284110020084,978.4309278654567,0.0,0.0,0.0
2023-01-01 16:00:00+08:00,54.851686254122185,0.0,54.851686254122185,504.7119074055765,54.851686254122185,0.0,368.8157909348876,9.581226471471098,0.03391045909802415,0.0,81.0444302165667,504.7119074055765,600.0,81.0444302165667,142.0540105858944,0.0
2023-01-01 17:00:00+08:00,0.0,2.071922586367704,2.071922586367704,504.816632375185,2.071922586367704,0.0,0.0,0.0,0.02079479999997602,0.0,502.7447097888173,504.816632375185,600.0,502.7447097888173,245.79227936066803,0.0
2023-01-01 18:00:00+08:00,0.0,4.3154721291765386,4.3154721291765386,673.9946697503505,4.3154721291765386,0.0,0.0,0.0,0.02079479999997602,0.0,669.6791976211739,673.9946697503505,600.0,669.6791976211739,286.8581633674278,0.0
2023-01-01 19:00:00+08:00,0.0,9.123078292338315,9.123078292338315,792.698814213916,9.123078292338315,0.0,0.0,0.0,0.02079479999997602,0.0,783.5757359215777,792.698814213916,600.0,783.5757359215777,314.8767117893271,0.0
2023-01-01 20:00:00+08:00,0.0,11.366627835147128,11.366627835147128,889.7171794989913,11.366627835147128,0.0,0.0,0.0,0.02079479999997602,0.0,878.3505516638442,889.7171794989913,600.0,878.3505516638442,338.19131646192466,0.0
2023-01-01 21:00:00+08:00,0.0,9.123078292338315,9.123078292338315,842.870249431862,9.123078292338315,0.0,0.0,0.0,0.02079479999997602,0.0,833.7471711395237,842.870249431862,600.0,833.7471711395237,327.21888485294187,0.0
2023-01-01 22:00:00+08:00,0.0,4.635979206720657,4.635979206720657,830.9437115221533,4.635979206720657,0.0,0.0,0.0,0.02079479999997602,0.0,826.3077323154326,830.9437115221533,600.0,826.3077323154326,325.38878290221544,0.0
2023-01-01 23:00:00+08:00,0.0,2.7129367414559424,2.7129367414559424,621.8753040820117,2.7129367414559424,0.0,0.0,0.0,0.02079479999997602,0.0,619.1623673405558,621.8753040820117,600.0,619.1623673405558,274.43102311839573,0.0
2023-01-02 00:00:00+08:00,0.0,2.071922586367704,2.071922586367704,317.08253606323433,2.071922586367704,0.0,0.0,0.0,0.02079479999997602,0.0,315.01061347686664,317.08253606323433,600.0,315.01061347686664,199.6096916679282,0.0
2023-01-02 01:00:00+08:00,0.0,0.7898942761912386,0.7898942761912386,273.0603129879604,0.7898942761912386,0.0,0.0,0.0,0.02079479999997602,0.0,272.27041871176914,273.0603129879604,600.0,272.27041871176914,189.0956037557142,0.0
2023-01-02 02:00:00+08:00,0.0,1.751415508823596,1.751415508823596,268.672549976166,1.751415508823596,0.0,0.0,0.0,0.02079479999997602,0.0,266.9211344673424,268.672549976166,600.0,266.9211344673424,187.7796798315852,0.0
2023-01-02 03:00:00+08:00,0.0,0.0,0.0,266.06587862566136,0.0,0.0,0.0,0.0,0.02079479999997602,0.0,266.06587862566136,266.06587862566136,600.0,266.06587862566136,187.56928689453167,0.0
2023-01-02 04:00:00+08:00,0.0,0.0,0.0,304.91953511519984,0.0,0.0,0.0,0.0,0.02079479999997602,0.0,304.91953511519984,304.91953511519984,600.0,304.91953511519984,197.12728639095815,0.0
2023-01-02 05:00:00+08:00,0.0,0.0,0.0,429.2472209725169,0.0,0.0,0.0,0.0,0.02079479999997602,0.0,429.2472209725169,429.2472209725169,600.0,429.2472209725169,227.71189711185815,0.0
2023-01-02 06:00:00+08:00,0.0,0.0,0.0,734.5317823619183,0.0,0.0,0.0,0.0,0.02079479999997602,0.0,734.5317823619183,734.5317823619183,600.0,734.5317823619183,302.8118992136509,0.0
2023-01-02 07:00:00+08:00,15.797189657127346,0.0,15.797189657127346,861.8140044436259,15.797189657127346,0.0,0.0,0.0,0.02079479999997602,0.0,846.0168147864986,861.8140044436259,600.0,846.0168147864986,330.2372171900976,0.0
2023-01-02 08:00:00+08:00,234.52919337329791,0.0,234.52919337329791,901.2684222767391,234.52919337329791,0.0,0.0,0.0,0.02079479999997602,0.0,666.7392289034412,901.2684222767391,600.0,666.7392289034412,286.1349310628655,0.0
2023-01-02 09:00:00+08:00,538.4386976656182,0.0,538.4386976656182,707.5566551227286,538.4386976656182,0.0,0.0,0.0,0.02079479999997602,0.0,169.11795745711038,707.5566551227286,600.0,169.11795745711038,163.72009828706814,0.0
2023-01-02 10:00:00+08:00,784.7998813440937,0.0,784.7998813440937,626.738353652447,626.738353652447,158.0615276916467,0.0,4.002207267965957,0.02079479999997602,0.0,0.0,626.738353652447,754.0385256236807,0.0,0.0,0.0
2023-01-02 11:00:00+08:00,918.9605667507494,0.0,918.9605667507494,595.6998842035341,595.6998842035341,323.2606825472153,0.0,8.185143292186922,0.026133467221029605,0.0,0.0,595.6998842035341,1069.0879314114882,0.0,0.0,0.0
2023-01-02 12:00:00+08:00,920.7080481466558,3.353950896544181,924.0619990432,572.5635760078004,572.5635760078004,351.4984230353996,0.0,8.900138850329427,0.037052449526981945,0.0,0.0,572.5635760078004,1411.6491631470312,0.0,0.0,0.0
2023-01-02 13:00:00+08:00,929.933463431515,15.877987072837497,945.8114505043525,529.7843088898715,529.7843088898715,416.027141614481,0.0,10.534042496974905,0.04892493669626674,0.0,0.0,529.7843088898715,1817.093337327841,0.0,0.0,0.0
2023-01-02 14:00:00+08:00,757.1304134063532,21.74028513070839,778.8706985370616,512.6320625448543,512.6320625448543,266.23863599220726,0.0,6.7413128263575,0.06297682088506917,0.0,0.0,512.6320625448543,2076.527683672806,0.0,0.0,0.0
2023-01-02 15:00:00+08:00,463.56250701049737,0.0,463.56250701049737,579.6863757073035,463.56250701049737,0.0,116.12386869680608,3.016706746495842,0.07196829646090919,0.0,0.0,579.6863757073035,1957.315139933043,0.0,0.0,0.0
2023-01-02 16:00:00+08:00,104.46016149576533,20.83839312180519,125.29855461757052,660.4932570399834,125.29855461757052,0.0,535.1947024224129,13.903476413638714,0.06783662811994873,0.0,0.0,660.4932570399834,1408.1491244688714,0.0,0.0,0.0
2023-01-02 17:00:00+08:00,0.0,34.605337856846944,34.605337856846944,816.1273957151624,34.605337856846944,0.0,781.5220578583154,20.302655181357522,0.048803632355884474,0.0,0.0,816.1273957151624,606.2756077968426,0.0,0.0,0.0
2023-01-02 18:00:00+08:00,0.0,40.00550943081705,40.00550943081705,937.3534098303674,40.00550943081705,0.0,6.096225601754594,0.15836989507291133,0.021012300015058827,0.0,891.2516747977958,937.3534098303675,600.0,891.2516747977958,341.3649927528768,0.0
2023-01-02 19:00:00+08:00,0.0,38.805471303268135,38.805471303268135,1037.0792613475483,38.805471303268135,0.0,0.0,0.0,0.02079479999997602,0.0,998.2737900442801,1037.0792613475483,600.0,998.2737900442801,367.6924331035119,0.0
